latitude,longitude,elevation,location,day,time,IC1,IC2,IC3,IC4,IC1_lag1,IC1_lag2,IC1_lag3,IC2_lag1,IC2_lag2,IC2_lag3,IC3_lag1,IC3_lag2,IC3_lag3,IC4_lag1,IC4_lag2,IC4_lag3
13.1107,80.2459,15,chennai,-113,2024-12-05,0.20438217926159644,-1.3474801640330099,-0.1398032239051863,-1.2622349212489212,0.17058732366569643,0.1578863907771672,0.2675730152081319,-1.1482376372400596,-1.140453195080903,-0.8610969299853338,-0.4816203313836248,-0.28627307093296395,-0.3767067898273201,-1.6122926585186026,-1.3030026522753224,-1.0776897327492894
12.6889,79.9728,69,chengalpattu,-113,2024-12-05,-0.1688857033304651,-1.4236220623495262,-0.7539740763516231,-0.9756124322731755,0.20438217926159644,0.17058732366569643,0.1578863907771672,-1.3474801640330099,-1.1482376372400596,-1.140453195080903,-0.1398032239051863,-0.4816203313836248,-0.28627307093296395,-1.2622349212489212,-1.6122926585186026,-1.3030026522753224
13.1107,80.2459,15,chennai,-112,2024-12-06,0.12885219016682814,-1.05784375611773,-0.7841973481678286,-1.4076295790514484,-0.1688857033304651,0.20438217926159644,0.17058732366569643,-1.4236220623495262,-1.3474801640330099,-1.1482376372400596,-0.7539740763516231,-0.1398032239051863,-0.4816203313836248,-0.9756124322731755,-1.2622349212489212,-1.6122926585186026
12.6889,79.9728,69,chengalpattu,-112,2024-12-06,0.010030072886059515,-1.1209869743192353,-0.9854228215137057,-1.2653918239822626,0.12885219016682814,-0.1688857033304651,0.20438217926159644,-1.05784375611773,-1.4236220623495262,-1.3474801640330099,-0.7841973481678286,-0.7539740763516231,-0.1398032239051863,-1.4076295790514484,-0.9756124322731755,-1.2622349212489212
13.1107,80.2459,15,chennai,-111,2024-12-07,-0.2996490536199269,-1.2077087564153222,-0.23448822412506845,-1.0039090965098136,0.010030072886059515,0.12885219016682814,-0.1688857033304651,-1.1209869743192353,-1.05784375611773,-1.4236220623495262,-0.9854228215137057,-0.7841973481678286,-0.7539740763516231,-1.2653918239822626,-1.4076295790514484,-0.9756124322731755
12.6889,79.9728,69,chengalpattu,-111,2024-12-07,-0.25001350788397453,-1.2089335546126867,-0.3014873148672074,-0.7794756162506599,-0.2996490536199269,0.010030072886059515,0.12885219016682814,-1.2077087564153222,-1.1209869743192353,-1.05784375611773,-0.23448822412506845,-0.9854228215137057,-0.7841973481678286,-1.0039090965098136,-1.2653918239822626,-1.4076295790514484
13.1107,80.2459,15,chennai,-110,2024-12-08,-0.6946056162931278,-1.5556802474826659,-0.1307513801338431,-0.8914687378778366,-0.25001350788397453,-0.2996490536199269,0.010030072886059515,-1.2089335546126867,-1.2077087564153222,-1.1209869743192353,-0.3014873148672074,-0.23448822412506845,-0.9854228215137057,-0.7794756162506599,-1.0039090965098136,-1.2653918239822626
12.6889,79.9728,69,chengalpattu,-110,2024-12-08,-0.6466319825070588,-1.643162702919109,-0.2676552103190259,-0.727612869254521,-0.6946056162931278,-0.25001350788397453,-0.2996490536199269,-1.5556802474826659,-1.2089335546126867,-1.2077087564153222,-0.1307513801338431,-0.3014873148672074,-0.23448822412506845,-0.8914687378778366,-0.7794756162506599,-1.0039090965098136
13.1107,80.2459,15,chennai,-109,2024-12-09,-0.14311357643050904,-0.9945574262874453,-0.5507076865001935,-0.78306684739975,-0.6466319825070588,-0.6946056162931278,-0.25001350788397453,-1.643162702919109,-1.5556802474826659,-1.2089335546126867,-0.2676552103190259,-0.1307513801338431,-0.3014873148672074,-0.727612869254521,-0.8914687378778366,-0.7794756162506599
12.6889,79.9728,69,chengalpattu,-109,2024-12-09,-0.4503265974535226,-1.0644957269655213,-0.6962144471476668,-0.38566677902605473,-0.14311357643050904,-0.6466319825070588,-0.6946056162931278,-0.9945574262874453,-1.643162702919109,-1.5556802474826659,-0.5507076865001935,-0.2676552103190259,-0.1307513801338431,-0.78306684739975,-0.727612869254521,-0.8914687378778366
13.1107,80.2459,15,chennai,-108,2024-12-10,0.2708011761833058,-0.506363233192937,-0.23599424557183363,0.7920656729120494,-0.4503265974535226,-0.14311357643050904,-0.6466319825070588,-1.0644957269655213,-0.9945574262874453,-1.643162702919109,-0.6962144471476668,-0.5507076865001935,-0.2676552103190259,-0.38566677902605473,-0.78306684739975,-0.727612869254521
12.6889,79.9728,69,chengalpattu,-108,2024-12-10,0.06294342913404159,-0.6836610775078966,-0.2842072699175879,0.7767804360543346,0.2708011761833058,-0.4503265974535226,-0.14311357643050904,-0.506363233192937,-1.0644957269655213,-0.9945574262874453,-0.23599424557183363,-0.6962144471476668,-0.5507076865001935,0.7920656729120494,-0.38566677902605473,-0.78306684739975
13.1107,80.2459,15,chennai,-107,2024-12-11,2.5271294212624436,-0.17141782996926971,-1.6482908857059972,0.8215962411630727,0.06294342913404159,0.2708011761833058,-0.4503265974535226,-0.6836610775078966,-0.506363233192937,-1.0644957269655213,-0.2842072699175879,-0.23599424557183363,-0.6962144471476668,0.7767804360543346,0.7920656729120494,-0.38566677902605473
12.6889,79.9728,69,chengalpattu,-107,2024-12-11,1.9589314815238212,-0.5436594075383557,-2.1811923194373164,0.60164323478728,2.5271294212624436,0.06294342913404159,0.2708011761833058,-0.17141782996926971,-0.6836610775078966,-0.506363233192937,-1.6482908857059972,-0.2842072699175879,-0.23599424557183363,0.8215962411630727,0.7767804360543346,0.7920656729120494
13.1107,80.2459,15,chennai,-106,2024-12-12,3.482749018910505,-0.4474170788179608,-1.4605932644689785,-0.5009142164509391,1.9589314815238212,2.5271294212624436,0.06294342913404159,-0.5436594075383557,-0.17141782996926971,-0.6836610775078966,-2.1811923194373164,-1.6482908857059972,-0.2842072699175879,0.60164323478728,0.8215962411630727,0.7767804360543346
12.6889,79.9728,69,chengalpattu,-106,2024-12-12,2.730175667258706,-0.7649917985306783,-2.07847786442041,-0.6311308900090195,3.482749018910505,1.9589314815238212,2.5271294212624436,-0.4474170788179608,-0.5436594075383557,-0.17141782996926971,-1.4605932644689785,-2.1811923194373164,-1.6482908857059972,-0.5009142164509391,0.60164323478728,0.8215962411630727
13.1107,80.2459,15,chennai,-105,2024-12-13,1.3167767655205205,-0.5120008040385503,0.348438479170915,1.2997580131816864,2.730175667258706,3.482749018910505,1.9589314815238212,-0.7649917985306783,-0.4474170788179608,-0.5436594075383557,-2.07847786442041,-1.4605932644689785,-2.1811923194373164,-0.6311308900090195,-0.5009142164509391,0.60164323478728
12.6889,79.9728,69,chengalpattu,-105,2024-12-13,1.048702721875935,-0.8361706043874721,-0.4804411631728011,0.6172420458674459,1.3167767655205205,2.730175667258706,3.482749018910505,-0.5120008040385503,-0.7649917985306783,-0.4474170788179608,0.348438479170915,-2.07847786442041,-1.4605932644689785,1.2997580131816864,-0.6311308900090195,-0.5009142164509391
13.1107,80.2459,15,chennai,-104,2024-12-14,0.3725381871262248,-1.2672850039878927,0.5543126583151675,1.5754793995600647,1.048702721875935,1.3167767655205205,2.730175667258706,-0.8361706043874721,-0.5120008040385503,-0.7649917985306783,-0.4804411631728011,0.348438479170915,-2.07847786442041,0.6172420458674459,1.2997580131816864,-0.6311308900090195
12.6889,79.9728,69,chengalpattu,-104,2024-12-14,0.10964412560837594,-1.489025762635786,0.08918127721017279,1.4001669223772566,0.3725381871262248,1.048702721875935,1.3167767655205205,-1.2672850039878927,-0.8361706043874721,-0.5120008040385503,0.5543126583151675,-0.4804411631728011,0.348438479170915,1.5754793995600647,0.6172420458674459,1.2997580131816864
13.1107,80.2459,15,chennai,-103,2024-12-15,0.38852403582374784,-1.1009940791897634,0.43383946262202183,2.3862631545238866,0.10964412560837594,0.3725381871262248,1.048702721875935,-1.489025762635786,-1.2672850039878927,-0.8361706043874721,0.08918127721017279,0.5543126583151675,-0.4804411631728011,1.4001669223772566,1.5754793995600647,0.6172420458674459
12.6889,79.9728,69,chengalpattu,-103,2024-12-15,-0.0790350687551248,-1.4438417643086205,-0.12028261266689139,1.8551083263548074,0.38852403582374784,0.10964412560837594,0.3725381871262248,-1.1009940791897634,-1.489025762635786,-1.2672850039878927,0.43383946262202183,0.08918127721017279,0.5543126583151675,2.3862631545238866,1.4001669223772566,1.5754793995600647
13.1107,80.2459,15,chennai,-102,2024-12-16,0.32860134527413587,-1.3030373977718013,0.39216106126729805,2.3371114327660774,-0.0790350687551248,0.38852403582374784,0.10964412560837594,-1.4438417643086205,-1.1009940791897634,-1.489025762635786,-0.12028261266689139,0.43383946262202183,0.08918127721017279,1.8551083263548074,2.3862631545238866,1.4001669223772566
12.6889,79.9728,69,chengalpattu,-102,2024-12-16,0.046971518993646745,-1.3895845908196618,-0.019914284148733207,2.1881093613950253,0.32860134527413587,-0.0790350687551248,0.38852403582374784,-1.3030373977718013,-1.4438417643086205,-1.1009940791897634,0.39216106126729805,-0.12028261266689139,0.43383946262202183,2.3371114327660774,1.8551083263548074,2.3862631545238866
